ą,ɔ̃ w̃
połączyć,p ɔ ˈ w ɔ̃ ɲ t͡ʂ ɨ t͡ɕ
poń,p ɔ̃ ɲ
pończocha,p ɔ̃ j̃ ɲ ˈ t͡ʂ ɔ x a
pończoszarnia,p ɔ̃ j̃ ɲ t͡ʂ ɔ ˈ ʂ a r ʲ ɲ a
pościel,ˈ p ɔ ɕ t͡ɕ ɛ l
pościć,ˈ p ɔ ɕ t͡ɕ i t͡ɕ
pośladek,p ɔ ˈ ɕ l a d ɛ k
pośledni,p ɔ ˈ ɕ l ɛ d ʲ ɲ i
poślubienie,p ɔ ɕ l u ˈ b ʲ j ɛ̃ ɲ ɛ
poślubić,p ɔ ˈ ɕ l u b ʲ i t͡ɕ
pośpiech,ˈ p ɔ ɕ p ʲ j ɛ x
pośpieszać,p ɔ ˈ ɕ p ʲ j ɛ ʂ a t͡ɕ
pośpieszenie,p ɔ ɕ p ʲ j ɛ ˈ ʂ ɛ̃ ɲ ɛ
pośpieszyć,p ɔ ˈ ɕ p ʲ j ɛ ʂ ɨ t͡ɕ
pośredni,p ɔ ˈ ɕ r ɛ d ʲ ɲ i
pośredniczka,p ɔ ɕ r ɛ d ʲ ˈ ɲ i t͡ʂ k a
pośrodku,p ɔ ˈ ɕ r ɔ t k u
pośrześć,ˈ p ɔ ɕ ʂ ɛ ɕ t͡ɕ
pośród,ˈ p ɔ ɕ r u t
poświadczać,p ɔ ˈ ɕ f ʲ j a ṭ t͡ʂ a t͡ɕ
poświerka,p ɔ ˈ ɕ f ʲ j ɛ r k a
poświstak,p ɔ ˈ ɕ f ʲ i s t a k
poświąteczny,p ɔ ɕ f ʲ j ɔ̃ n ˈ t ɛ t͡ʂ n ɨ
poświęcanie,p ɔ ɕ f ʲ j ɛ̃ n ˈ t͡s ã ɲ ɛ
poświęcać,p ɔ ˈ ɕ f ʲ j ɛ̃ n t͡s a t͡ɕ
poświęcenie,p ɔ ɕ f ʲ j ɛ̃ n ˈ t͡s ɛ̃ ɲ ɛ
poświęcić,p ɔ ˈ ɕ f ʲ j ɛ̃ ɲ t͡ɕ i t͡ɕ
poakcesyjny,p ɔ a k t͡s ɛ ˈ s ɨ j n ɨ
pobiec,ˈ p ɔ b ʲ j ɛ t͡s
pobiegać,p ɔ ˈ b ʲ j ɛ ɡ a t͡ɕ
pobieranie,p ɔ b ʲ j ɛ ˈ r ã ɲ ɛ
pobierać,p ɔ ˈ b ʲ j ɛ r a t͡ɕ
pobierowo,p ɔ b ʲ j ɛ ˈ r ɔ v ɔ
pobijak,p ɔ ˈ b ʲ i j a k
pobić,ˈ p ɔ b ʲ i t͡ɕ
pobladzić,p ɔ ˈ b l a d͡ʑ i t͡ɕ
pobliże,p ɔ ˈ b l ʲ i ʐ ɛ
pobocze,p ɔ ˈ b ɔ t͡ʂ ɛ
pobojowisko,p ɔ b ɔ j ɔ ˈ v ʲ i s k ɔ
pobożność,p ɔ ˈ b ɔ ʐ n ɔ ɕ t͡ɕ
pobożny,p ɔ ˈ b ɔ ʐ n ɨ
pobranie,p ɔ ˈ b r ã ɲ ɛ
pobrać,ˈ p ɔ b r a t͡ɕ
pobudka,p ɔ ˈ b u t k a
pobudliwy,p ɔ b u ˈ d l ʲ i v ɨ
pobudzanie,p ɔ b u ˈ d͡z ã ɲ ɛ
pobudzać,p ɔ ˈ b u d͡z a t͡ɕ
pobyt,ˈ p ɔ b ɨ t
pobój,ˈ p ɔ b u j
pobłękitnienie,p ɔ b w ɛ̃ ŋ ʲ c i t ʲ ˈ ɲ ɛ̃ ɲ ɛ
pobłękitnieć,p ɔ b w ɛ̃ ŋ ʲ ˈ c i t ʲ ɲ ɛ t͡ɕ
pocałowanie,p ɔ t͡s a w ɔ ˈ v ã ɲ ɛ
pocałować,p ɔ t͡s a ˈ w ɔ v a t͡ɕ
pocałunek,p ɔ t͡s a ˈ w ũ n ɛ k
pocenie,p ɔ ˈ t͡s ɛ̃ ɲ ɛ
pocestny,p ɔ ˈ t͡s ɛ s t n ɨ
pochlastać,p ɔ ˈ x l a s t a t͡ɕ
pochmurny,p ɔ ˈ x m u r n ɨ
pochodna,p ɔ ˈ x ɔ d n a
pochodnia,p ɔ ˈ x ɔ d ʲ ɲ a
pochodzenie,p ɔ x ɔ ˈ d͡z ɛ̃ ɲ ɛ
pochodzić,p ɔ ˈ x ɔ d͡ʑ i t͡ɕ
pochp,p ɛ ɔ x a ˈ p ɛ
pochutnywać,p ɔ x u t ˈ n ɨ v a t͡ɕ
pochwa,ˈ p ɔ x f a
pochwała,p ɔ x ˈ f a w a
pochylać,p ɔ ˈ x ɨ l a t͡ɕ
pochylić,p ɔ ˈ x ɨ l ʲ i t͡ɕ
pochylony,p ɔ x ɨ ˈ l ɔ̃ n ɨ
pochyłość,p ɔ ˈ x ɨ w ɔ ɕ t͡ɕ
pochyły,p ɔ ˈ x ɨ w ɨ
pochód,ˈ p ɔ x u t
pochłanianie,p ɔ x w ã ˈ ɲ a ɲ ɛ
pochłaniać,p ɔ ˈ x w ã ɲ æ t͡ɕ
pochłonięcie,p ɔ x w ɔ̃ ˈ ɲ ɛ̃ ɲ t͡ɕ ɛ
pochłonąć,p ɔ ˈ x w ɔ̃ n ɔ̃ ɲ t͡ɕ
pociecha,p ɔ ˈ t͡ɕ ɛ x a
pocieszać,p ɔ ˈ t͡ɕ ɛ ʂ a t͡ɕ
pocieszycielka,p ɔ t͡ɕ ɛ ʂ ɨ ˈ t͡ɕ ɛ l k a
pocieszyć,p ɔ ˈ t͡ɕ ɛ ʂ ɨ t͡ɕ
pociot,ˈ p ɔ t͡ɕ ɔ t
pociotek,p ɔ ˈ t͡ɕ ɔ t ɛ k
pociotka,p ɔ ˈ t͡ɕ ɔ t k a
pocisk,ˈ p ɔ t͡ɕ i s k
pociąg,ˈ p ɔ t͡ɕ ɔ̃ ŋ k
pociągokilometr,p ɔ t͡ɕ ɔ̃ ŋ ɡ ɔ c i ˈ l ɔ̃ m ɛ t r̥
pociągowy,p ɔ t͡ɕ ɔ̃ ŋ ˈ ɡ ɔ v ɨ
poczciwy,p ɔ t͡ʂ ʲ ˈ t͡ɕ i v ɨ
poczdam,ˈ p ɔ d͡ʐ d ã m
poczdamski,p ɔ d͡ʐ ˈ d ã m s ʲ c i
poczekalnia,p ɔ t͡ʂ ɛ ˈ k a l ʲ ɲ a
poczekać,p ɔ ˈ t͡ʂ ɛ k a t͡ɕ
poczerwienieć,p ɔ t͡ʂ ɛ r ˈ v ʲ j ɛ̃ ɲ ɛ t͡ɕ
poczesna,p ɔ ˈ t͡ʂ ɛ s n a
poczet,ˈ p ɔ t͡ʂ ɛ t
poczmistrz,ˈ p ɔ t͡ʂ m ʲ i s ṭ ʂ
poczta,ˈ p ɔ t͡ʂ t a
pocztowy,p ɔ t͡ʂ ˈ t ɔ v ɨ
pocztylion,p ɔ t͡ʂ ˈ t ɨ l ʲ j ɔ̃ n
pocztówka,p ɔ t͡ʂ ˈ t u f k a
poczucie,p ɔ ˈ t͡ʂ u t͡ɕ ɛ
poczuć,ˈ p ɔ t͡ʂ u t͡ɕ
poczwarka,p ɔ t͡ʂ ˈ f a r k a
poczworzyć,p ɔ t͡ʂ ˈ f ɔ ʐ ɨ t͡ɕ
poczynać,p ɔ ˈ t͡ʂ ɨ n a t͡ɕ
początek,p ɔ ˈ t͡ʂ ɔ̃ n t ɛ k
początkowo,p ɔ t͡ʂ ɔ̃ n t ˈ k ɔ v ɔ
początkowy,p ɔ t͡ʂ ɔ̃ n t ˈ k ɔ v ɨ
począć,ˈ p ɔ t͡ʂ ɔ̃ ɲ t͡ɕ
poczęcie,p ɔ ˈ t͡ʂ ɛ̃ ɲ t͡ɕ ɛ
poczęstunek,p ɔ t͡ʂ ɛ̃ w̃ ˈ s t ũ n ɛ k
podążać,p ɔ ˈ d ɔ̃ w̃ ʐ a t͡ɕ
pod,p ɔ t
podłoga,p ɔ d ˈ w ɔ ɡ a
podłogowy,p ɔ d w ɔ ˈ ɡ ɔ v ɨ
podłogówka,p ɔ d w ɔ ˈ ɡ u f k a
podłość,ˈ p ɔ d w ɔ ɕ t͡ɕ
podłoże,p ɔ d ˈ w ɔ ʐ ɛ
podłużny,p ɔ d ˈ w u ʐ n ɨ
podły,ˈ p ɔ d w ɨ
podłódzki,p ɔ d ˈ w u t͡s ʲ c i
podłączenie,p ɔ d w ɔ̃ ɲ ˈ t͡ʂ ɛ̃ ɲ ɛ
podświadomie,p ɔ t ʲ ɕ f ʲ j a ˈ d ɔ̃ m ʲ j ɛ
podświdnicki,p ɔ t ʲ ɕ f ʲ i d ʲ ˈ ɲ i t͡s ʲ c i
podamsterdamski,p ɔ d ã m s t ɛ r ˈ d ã m s ʲ c i
podanie,p ɔ ˈ d ã ɲ ɛ
podarze,p ɔ ˈ d a ʐ ɛ
podatek,p ɔ ˈ d a t ɛ k
podateński,p ɔ d a ˈ t ɛ̃ j̃ s ʲ c i
podatkowy,p ɔ d a t ˈ k ɔ v ɨ
podatnik,p ɔ ˈ d a t ʲ ɲ i k
podawanie,p ɔ d a ˈ v ã ɲ ɛ
podawać,p ɔ ˈ d a v a t͡ɕ
podać,ˈ p ɔ d a t͡ɕ
podbagdadzki,p ɔ d b a ɡ ˈ d a t͡s ʲ c i
podbelgradzki,p ɔ d b ɛ l ˈ ɡ r a t͡s ʲ c i
podberliński,p ɔ d b ɛ r ˈ l ʲ i j̃ s ʲ c i
podbiałostocki,p ɔ d b ʲ j a w ɔ ˈ s t ɔ t͡s ʲ c i
podbijać,p ɔ d ˈ b ʲ i j æ t͡ɕ
podbostoński,p ɔ d b ɔ ˈ s t ɔ̃ j̃ s ʲ c i
podbramkowy,p ɔ d b r ã m ˈ k ɔ v ɨ
podbrodnicki,p ɔ d b r ɔ d ʲ ˈ ɲ i t͡s ʲ c i
podbrukselski,p ɔ d b r u ˈ k s ɛ l s ʲ c i
podbrzusze,p ɔ d ˈ b ʐ u ʂ ɛ
podbródek,p ɔ d ˈ b r u d ɛ k
podbudapesztański,p ɔ d b u d a p ɛ ˈ ʂ t ã j̃ s ʲ c i
podbudapeszteński,p ɔ d b u d a p ɛ ˈ ʂ t ɛ̃ j̃ s ʲ c i
podbukaresztański,p ɔ d b u k a r ɛ ˈ ʂ t ã j̃ s ʲ c i
podbukareszteński,p ɔ d b u k a r ɛ ˈ ʂ t ɛ̃ j̃ s ʲ c i
podburzać,p ɔ d ˈ b u ʐ a t͡ɕ
podbydgoski,p ɔ d b ɨ d ˈ ɡ ɔ s ʲ c i
podbytomski,p ɔ d b ɨ ˈ t ɔ̃ m s ʲ c i
podbój,ˈ p ɔ d b u j
podchodzić,p ɔ t ˈ x ɔ d͡ʑ i t͡ɕ
podchorzowski,p ɔ t x ɔ ˈ ʐ ɔ f s ʲ c i
podcień,ˈ p ɔ t ʲ t͡ɕ ɛ̃ ɲ
podciąg,ˈ p ɔ t ʲ t͡ɕ ɔ̃ ŋ k
podciągać,p ɔ t ʲ ˈ t͡ɕ ɔ̃ ŋ ɡ a t͡ɕ
podciśnienie,p ɔ t ʲ t͡ɕ i ɕ ˈ ɲ ɛ̃ ɲ ɛ
podczas,ˈ p ɔ ṭ t͡ʂ a s
podczerwień,p ɔ ṭ ˈ t͡ʂ ɛ r v ʲ j ɛ̃ ɲ
podczerwony,p ɔ ṭ t͡ʂ ɛ r ˈ v ɔ̃ n ɨ
podczęstochowski,p ɔ ṭ t͡ʂ ɛ̃ w̃ s t ɔ ˈ x ɔ f s ʲ c i
poddasze,p ɔ d ˈ a ʂ ɛ
poddawać,p ɔ d ˈ a v a t͡ɕ
poddźwiękowy,p ɔ d ʲ d͡ʑ v ʲ j ɛ̃ ŋ ˈ k ɔ v ɨ
pode,ˈ p ɔ d ɛ
podejmowanie,p ɔ d ɛ j m ɔ ˈ v ã ɲ ɛ
podejmować,p ɔ d ɛ j ˈ m ɔ v a t͡ɕ
podejrzanie,p ɔ d ɛ j ˈ ʐ ã ɲ ɛ
podejrzany,p ɔ d ɛ j ˈ ʐ ã n ɨ
podejrzenie,p ɔ d ɛ j ˈ ʐ ɛ̃ ɲ ɛ
podejrzewanie,p ɔ d ɛ j ʐ ɛ ˈ v ã ɲ ɛ
podejrzewać,p ɔ d ɛ j ˈ ʐ ɛ v a t͡ɕ
podejście,p ɔ ˈ d ɛ j ɕ t͡ɕ ɛ
podejść,ˈ p ɔ d ɛ j ɕ t͡ɕ
podelbląski,p ɔ d ɛ ˈ l b l ɔ̃ w̃ s ʲ c i
poderwanie,p ɔ d ɛ r ˈ v ã ɲ ɛ
poderwać,p ɔ ˈ d ɛ r v a t͡ɕ
podest,ˈ p ɔ d ɛ s t
podeszwa,p ɔ ˈ d ɛ ʂ f a
podeń,ˈ p ɔ d ɛ̃ ɲ
podfolder,p ɔ d ˈ v ɔ l d ɛ r
podgdański,p ɔ d ˈ ɡ d ã j̃ s ʲ c i
podgdyński,p ɔ d ˈ ɡ d ɨ j̃ s ʲ c i
podgliwicki,p ɔ d ɡ l ʲ i ˈ v ʲ i t͡s ʲ c i
podgląd,ˈ p ɔ d ɡ l ɔ̃ n t
podgnieźnieński,p ɔ d ʲ ɡ ʲ ɲ ɛ ʑ ˈ ɲ ɛ̃ j̃ s ʲ c i
podgorica,p ɔ d ɡ ɔ ˈ r ʲ i t͡s a
podgoricki,p ɔ d ɡ ɔ ˈ r ʲ i t͡s ʲ c i
podgoriczanin,p ɔ d ɡ ɔ r ʲ i ˈ t͡ʂ ã ɲ i n
podgoriczanka,p ɔ d ɡ ɔ r ʲ i ˈ t͡ʂ ã n k a
podgorzałka,p ɔ d ɡ ɔ ˈ ʐ a w k a
podgorączkowy,p ɔ d ɡ ɔ r ɔ̃ ɲ t͡ʂ ˈ k ɔ v ɨ
podgrudziądzki,p ɔ d ɡ r u ˈ d͡ʑ ɔ̃ n t͡s ʲ c i
podgrzanie,p ɔ d ˈ ɡ ʐ ã ɲ ɛ
podgrzać,ˈ p ɔ d ɡ ʐ a t͡ɕ
podgrzewać,p ɔ d ˈ ɡ ʐ ɛ v a t͡ɕ
podgórski,p ɔ d ˈ ɡ u r s ʲ c i
podgłogowski,p ɔ d ɡ w ɔ ˈ ɡ ɔ f s ʲ c i
podhalański,p ɔ t x a ˈ l ã j̃ s ʲ c i
podhale,p ɔ t ˈ x a l ɛ
podhelsiński,p ɔ t x ɛ l ʲ ˈ ɕ i j̃ s ʲ c i
podinowrocławski,p ɔ d ʲ i n ɔ v r ɔ t͡s ˈ w a f s ʲ c i
podium,ˈ p ɔ d ʲ j ũ m
podjadać,p ɔ d ʲ ˈ j a d a t͡ɕ
podjazd,ˈ p ɔ d ʲ j a s t
podjeleniogórski,p ɔ d ʲ j ɛ l ɛ̃ ɲ ɔ ˈ ɡ u r s ʲ c i
podkaliski,p ɔ t k a ˈ l ʲ i s ʲ c i
podkarpacki,p ɔ t k a r ˈ p a t͡s ʲ c i
podkatowicki,p ɔ t k a t ɔ ˈ v ʲ i t͡s ʲ c i
podkielecki,p ɔ t ʲ c ɛ ˈ l ɛ t͡s ʲ c i
podkolanówka,p ɔ t k ɔ l ã ˈ n u f k a
podkoloński,p ɔ t k ɔ ˈ l ɔ̃ j̃ s ʲ c i
podkoniński,p ɔ t k ɔ̃ ˈ ɲ i j̃ s ʲ c i
podkopenhaski,p ɔ t k ɔ p ɛ̃ n ˈ x a s ʲ c i
podkoszaliński,p ɔ t k ɔ ʂ a ˈ l ʲ i j̃ s ʲ c i
podkoszulek,p ɔ t k ɔ ˈ ʂ u l ɛ k
podkoszulka,p ɔ t k ɔ ˈ ʂ u l k a
podkowa,p ɔ t ˈ k ɔ v a
podkowiak,p ɔ t ˈ k ɔ v ʲ j a k
podkoziołek,p ɔ t k ɔ ˈ ʑ ɔ w ɛ k
podkoziołkowy,p ɔ t k ɔ ʑ ɔ w ˈ k ɔ v ɨ
podkradać,p ɔ t ˈ k r a d a t͡ɕ
podkrakowski,p ɔ t k r a ˈ k ɔ f s ʲ c i
podkraść,ˈ p ɔ t k r a ɕ t͡ɕ
podkreślanie,p ɔ t k r ɛ ɕ ˈ l ã ɲ ɛ
podkreślać,p ɔ t ˈ k r ɛ ɕ l a t͡ɕ
podkreślić,p ɔ t ˈ k r ɛ ɕ l ʲ i t͡ɕ
podkręcanie,p ɔ t k r ɛ̃ n ˈ t͡s ã ɲ ɛ
podkurek,p ɔ t ˈ k u r ɛ k
podkuty,p ɔ t ˈ k u t ɨ
podkuwacz,p ɔ t ˈ k u v a t͡ʂ
podkuwanie,p ɔ t k u ˈ v ã ɲ ɛ
podkóweczka,p ɔ t k u ˈ v ɛ t͡ʂ k a
podkład,ˈ p ɔ t k w a t
podlasie,p ɔ d ˈ l a ɕ ɛ
podle,ˈ p ɔ d l ɛ
podlegać,p ɔ d ˈ l ɛ ɡ a t͡ɕ
podlegnicki,p ɔ d l ɛ ɡ ʲ ˈ ɲ i t͡s ʲ c i
podległy,p ɔ d ˈ l ɛ ɡ w ɨ
podlewaczka,p ɔ d l ɛ ˈ v a t͡ʂ k a
podlewanie,p ɔ d l ɛ ˈ v ã ɲ ɛ
podlewać,p ɔ d ˈ l ɛ v a t͡ɕ
podliczyć,p ɔ d ˈ l ʲ i t͡ʂ ɨ t͡ɕ
podlizboński,p ɔ d l ʲ i z ˈ b ɔ̃ j̃ s ʲ c i
podlubelski,p ɔ d l u ˈ b ɛ l s ʲ c i
podlubiński,p ɔ d l u ˈ b ʲ i j̃ s ʲ c i
podmadrycki,p ɔ d m a ˈ d r ɨ t͡s ʲ c i
podmaślać,p ɔ d ˈ m a ɕ l a t͡ɕ
podmiatować,p ɔ d m ʲ j a ˈ t ɔ v a t͡ɕ
podmiejski,p ɔ d ˈ m ʲ j ɛ j s ʲ c i
podmiot,ˈ p ɔ d m ʲ j ɔ t
podmiński,p ɔ d ˈ m ʲ i j̃ s ʲ c i
podmokły,p ɔ d ˈ m ɔ k w ɨ
podmoskiewski,p ɔ d m ɔ ˈ s ʲ c ɛ f s ʲ c i
podmuch,ˈ p ɔ d m u x
podmurowanie,p ɔ d m u r ɔ ˈ v ã ɲ ɛ
podmurówka,p ɔ d m u ˈ r u f k a
podmysłowicki,p ɔ d m ɨ s w ɔ ˈ v ʲ i t͡s ʲ c i
podnasierdziowo,p ɔ d n a ɕ ɛ r ʲ ˈ d͡ʑ ɔ v ɔ
podnasierdziowy,p ɔ d n a ɕ ɛ r ʲ ˈ d͡ʑ ɔ v ɨ
podniebienie,p ɔ d ʲ ɲ ɛ ˈ b ʲ j ɛ̃ ɲ ɛ
podniebienny,p ɔ d ʲ ɲ ɛ ˈ b ʲ j ɛ̃ n ɨ
podniebny,p ɔ d ʲ ˈ ɲ ɛ b n ɨ
podniecanie,p ɔ d ʲ ɲ ɛ ˈ t͡s ã ɲ ɛ
podniecać,p ɔ d ʲ ˈ ɲ ɛ t͡s a t͡ɕ
podniecić,p ɔ d ʲ ˈ ɲ ɛ t͡ɕ i t͡ɕ
podniesienie,p ɔ d ʲ ɲ ɛ ˈ ɕ ɛ̃ ɲ ɛ
podnieta,p ɔ d ʲ ˈ ɲ ɛ t a
podnieść,ˈ p ɔ d ʲ ɲ ɛ ɕ t͡ɕ
podniosła,p ɔ d ʲ ˈ ɲ ɔ s w a
podniosły,p ɔ d ʲ ˈ ɲ ɔ s w ɨ
podnosić,p ɔ d ˈ n ɔ ɕ i t͡ɕ
podnoszenie,p ɔ d n ɔ ˈ ʂ ɛ̃ ɲ ɛ
podnowojorski,p ɔ d n ɔ v ɔ ˈ j ɔ r s ʲ c i
podnowosądecki,p ɔ d n ɔ v ɔ s ɔ̃ n ˈ d ɛ t͡s ʲ c i
podnośnik,p ɔ d ˈ n ɔ ɕ ɲ i k
podnóże,p ɔ d ˈ n u ʐ ɛ
podoba,p ɔ ˈ d ɔ b a
podobieństwo,p ɔ d ɔ ˈ b ʲ j ɛ̃ j̃ s t f ɔ
podobnie,p ɔ ˈ d ɔ b ʲ ɲ ɛ
podobniutki,p ɔ d ɔ b ʲ ˈ ɲ u t ʲ c i
podobno,p ɔ ˈ d ɔ b n ɔ
podobny,p ɔ ˈ d ɔ b n ɨ
pododdział,p ɔ d ˈ ɔ d ʲ d͡ʑ a w
podole,p ɔ d ˈ ɔ l ɛ
podoleśnicki,p ɔ d ɔ l ɛ ɕ ˈ ɲ i t͡s ʲ c i
podolski,p ɔ d ˈ ɔ l s ʲ c i
podolsztyński,p ɔ d ɔ l ˈ ʂ t ɨ j̃ s ʲ c i
podomka,p ɔ ˈ d ɔ̃ m k a
podopolski,p ɔ d ɔ ˈ p ɔ l s ʲ c i
podorędzie,p ɔ d ɔ ˈ r ɛ̃ ɲ d͡ʑ ɛ
podpabianicki,p ɔ t p a b ʲ j a ˈ ɲ i t͡s ʲ c i
podpalanie,p ɔ t p a ˈ l ã ɲ ɛ
podpalać,p ɔ t ˈ p a l a t͡ɕ
podpalenie,p ɔ t p a ˈ l ɛ̃ ɲ ɛ
podpalić,p ɔ t ˈ p a l ʲ i t͡ɕ
podparyski,p ɔ t p a ˈ r ɨ s ʲ c i
podpałka,p ɔ t ˈ p a w k a
podpekiński,p ɔ t p ɛ ˈ c i j̃ s ʲ c i
podpieprzyć,p ɔ t ˈ p ʲ j ɛ p ʂ ɨ t͡ɕ
podpierać,p ɔ t ˈ p ʲ j ɛ r a t͡ɕ
podpierdalanie,p ɔ t p ʲ j ɛ r d a ˈ l ã ɲ ɛ
podpierdalać,p ɔ t p ʲ j ɛ r ˈ d a l a t͡ɕ
podpilski,p ɔ t ˈ p ʲ i l s ʲ c i
podpiotrkowski,p ɔ t p ʲ j ɔ ˈ t r̥ k ɔ f s ʲ c i
podpis,ˈ p ɔ t p ʲ i s
podpisanie,p ɔ t p ʲ i ˈ s ã ɲ ɛ
podpisać,p ɔ t ˈ p ʲ i s a t͡ɕ
podpisywać,p ɔ t p ʲ i ˈ s ɨ v a t͡ɕ
podpity,p ɔ t ˈ p ʲ i t ɨ
podpora,p ɔ t ˈ p ɔ r a
podporucznik,p ɔ t p ɔ ˈ r u t͡ʂ ʲ ɲ i k
podporządkowanie,p ɔ t p ɔ ʐ ɔ̃ n t k ɔ ˈ v ã ɲ ɛ
podpowiadanie,p ɔ t p ɔ v ʲ j a ˈ d ã ɲ ɛ
podpowiadać,p ɔ t p ɔ ˈ v ʲ j a d a t͡ɕ
podpowiedzenie,p ɔ t p ɔ v ʲ j ɛ ˈ d͡z ɛ̃ ɲ ɛ
podpowiedzieć,p ɔ t p ɔ ˈ v ʲ j ɛ d͡ʑ ɛ t͡ɕ
podpowiedź,p ɔ t ˈ p ɔ v ʲ j ɛ t͡ɕ
podpoznański,p ɔ t p ɔ z ˈ n ã j̃ s ʲ c i
podpraski,p ɔ t ˈ p r a s ʲ c i
podprowadzić,p ɔ t p r ɔ ˈ v a d͡ʑ i t͡ɕ
podprzemyski,p ɔ t p ʂ ɛ̃ ˈ m ɨ s ʲ c i
podpucha,p ɔ t ˈ p u x a
podpuszczka,p ɔ t ˈ p u ʂ t͡ʂ k a
podpuszczkowy,p ɔ t p u ʂ t͡ʂ ˈ k ɔ v ɨ
podpułkownik,p ɔ t p u w ˈ k ɔ v ʲ ɲ i k
podpłocki,p ɔ t ˈ p w ɔ t͡s ʲ c i
podpłomyk,p ɔ t ˈ p w ɔ̃ m ɨ k
podrabianie,p ɔ d r a ˈ b ʲ j a ɲ ɛ
podradomski,p ɔ d r a ˈ d ɔ̃ m s ʲ c i
podrasować,p ɔ d r a ˈ s ɔ v a t͡ɕ
podrybnicki,p ɔ d r ɨ b ʲ ˈ ɲ i t͡s ʲ c i
podrywanie,p ɔ d r ɨ ˈ v ã ɲ ɛ
podrywać,p ɔ d ˈ r ɨ v a t͡ɕ
podróba,p ɔ d ˈ r u b a
podróbka,p ɔ d ˈ r u p k a
podróż,ˈ p ɔ d r u ʂ
podróżny,p ɔ d ˈ r u ʐ n ɨ
podróżowanie,p ɔ d r u ʐ ɔ ˈ v ã ɲ ɛ
podróżować,p ɔ d r u ˈ ʐ ɔ v a t͡ɕ
podręcznik,p ɔ d ˈ r ɛ̃ ɲ t͡ʂ ʲ ɲ i k
podręcznikowy,p ɔ d r ɛ̃ ɲ t͡ʂ ʲ ɲ i ˈ k ɔ v ɨ
podręczny,p ɔ d ˈ r ɛ̃ ɲ t͡ʂ n ɨ
podsiedlecki,p ɔ t ʲ ɕ ɛ ˈ d l ɛ t͡s ʲ c i
podsiębierny,p ɔ t ʲ ɕ ɛ̃ m ˈ b ʲ j ɛ r n ɨ
podskok,ˈ p ɔ t s k ɔ k
podsosnowiecki,p ɔ t s ɔ s n ɔ ˈ v ʲ j ɛ t͡s ʲ c i
podstawa,p ɔ t ˈ s t a v a
podstawek,p ɔ t ˈ s t a v ɛ k
podstawka,p ɔ t ˈ s t a f k a
podstawowy,p ɔ t s t a ˈ v ɔ v ɨ
podstawówka,p ɔ t s t a ˈ v u f k a
podstrunnica,p ɔ t s t r ũ ɲ ˈ i t͡s a
podstęp,ˈ p ɔ t s t ɛ̃ m p
podstępnie,p ɔ t ˈ s t ɛ̃ m p ʲ ɲ ɛ
podstępność,p ɔ t ˈ s t ɛ̃ m p n ɔ ɕ t͡ɕ
podstępny,p ɔ t ˈ s t ɛ̃ m p n ɨ
podsuwalski,p ɔ t s u ˈ v a l s ʲ c i
podszczeciński,p ɔ ṭ ʂ t͡ʂ ɛ ˈ t͡ɕ i j̃ s ʲ c i
podszewka,p ɔ ṭ ˈ ʂ ɛ f k a
podsztokholmski,p ɔ ṭ ʂ t ɔ k ˈ x ɔ l m̥ s ʲ c i
podsłuch,ˈ p ɔ t s w u x
podsłuchać,p ɔ t ˈ s w u x a t͡ɕ
podsłuchomania,p ɔ t ˈ s w u x ɔ ˈ m ã ɲ j a
podsłupski,p ɔ t ˈ s w u p s ʲ c i
podtapiać,p ɔ t ˈ a p ʲ j æ t͡ɕ
podtlenek,p ɔ t ˈ l ɛ̃ n ɛ k
podtrzymywać,p ɔ t ṭ ʂ ɨ ˈ m ɨ v a t͡ɕ
poduszeczka,p ɔ d u ˈ ʂ ɛ t͡ʂ k a
poduszka,p ɔ ˈ d u ʂ k a
poduszkowiec,p ɔ d u ˈ ʂ k ɔ v ʲ j ɛ t͡s
podwarszawski,p ɔ d v a r ˈ ʂ a f s ʲ c i
podwaszyngtoński,p ɔ d v a ʂ ɨ ŋ k ˈ t ɔ̃ j̃ s ʲ c i
podwałbrzyski,p ɔ d v a w ˈ b ʐ ɨ s ʲ c i
podwiczka,p ɔ d ˈ v ʲ i t͡ʂ k a
podwieczorek,p ɔ d v ʲ j ɛ ˈ t͡ʂ ɔ r ɛ k
podwiedeński,p ɔ d v ʲ j ɛ ˈ d ɛ̃ j̃ s ʲ c i
podwijanie,p ɔ d v ʲ i ˈ j a ɲ ɛ
podwijać,p ɔ d ˈ v ʲ i j æ t͡ɕ
podwijka,p ɔ d ˈ v ʲ i j k a
podwika,p ɔ d ˈ v ʲ i k a
podwileński,p ɔ d v ʲ i ˈ l ɛ̃ j̃ s ʲ c i
podwinąć,p ɔ d ˈ v ʲ i n ɔ̃ ɲ t͡ɕ
podwiązać,p ɔ d ˈ v ʲ j ɔ̃ w̃ z a t͡ɕ
podwiązka,p ɔ d ˈ v ʲ j ɔ̃ w̃ s k a
podwiązywać,p ɔ d v ʲ j ɔ̃ w̃ ˈ z ɨ v a t͡ɕ
podwoda,p ɔ d ˈ v ɔ d a
podwodny,p ɔ d ˈ v ɔ d n ɨ
podworowe,p ɔ d v ɔ ˈ r ɔ v ɛ
podworzec,p ɔ d ˈ v ɔ ʐ ɛ t͡s
podwozie,p ɔ d ˈ v ɔ ʑ ɛ
