čač,t͡ʃ a t͡ʃ
odhalená,ɔ d ɦ a l ɛ n aː
odhalením,ɔ d ɦ a l ɛ ɲ iː m
odhalil,ɔ d ɦ a l ɪ l
odhalili,ɔ d ɦ a l ɪ l ɪ
odhalit,ɔ d ɦ a l ɪ t
odhaliti,ɔ d ɦ a l ɪ c ɪ
odhalovat,ɔ d ɦ a l ɔ v a t
odhalovati,ɔ d ɦ a l ɔ v a c ɪ
odhlasovat,ɔ d ɦ l a s ɔ v a t
odhlásit,ˈ o d ɦ l aː s ɪ t
odhoditelný,ˈ ʔ ɔ d ɦ ɔ ɟ ɪ t ɛ l n iː
odhodlaná,ɔ d ɦ ɔ d l a n aː
odis,ɔ d ɪ s
odiózní,ɔ d ɪ ɔː z ɲ iː
odjav,ɔ d j a f
odjel,o d j ɛ l
odjet,ɔ d j ɛ t
odjezd,ɔ d j ɛ s t
odkazujíc,o t k a z ʊ j iː t͡s
odkaďsi,ˈ ʔ ɔ t k a ɟ s ɪ
odkdy,ɔ d ɡ d ɪ
odkladný,ɔ t k l a d n iː
odkladu,ɔ t k l a d ʊ
odkloněn,ɔ t k l ɔ ɲ ɛ n
odkládaje,o t k l aː d a j ɛ
odkládat,ɔ t k l aː d a t
odkládati,ɔ t k l aː d a c ɪ
odklání,ɔ t k l aː ɲ iː
odkláněli,ɔ t k l aː ɲ ɛ l ɪ
odkud,ɔ t k ʊ t
odkázali,ɔ t k aː z a l ɪ
odkázav,ɔ t k aː z a v
odlehlý,ɔ d l ɛ ɦ l iː
odlesnění,ɔ d l ɛ s ɲ ɛ ɲ iː
odlesněních,ɔ d l ɛ s ɲ ɛ ɲ iː x
odlesněním,ɔ d l ɛ s ɲ ɛ ɲ iː m
odlesněními,ɔ d l ɛ s ɲ ɛ ɲ iː m ɪ
odletujíce,ɔ d l ɛ t ʊ j iː t͡s ɛ
odlety,ɔ d l ɛ t ɪ
odletí,ʔ ɔ d l ɛ c iː
odliv,ɔ d l ɪ f
odlišný,ˈ ʔ ɔ d l ɪ ʃ n iː
odlišovat,ɔ d l ɪ ʃ ɔ v a t
odlišovati,ɔ d l ɪ ʃ ɔ v a c ɪ
odlovili,ɔ d l ɔ v ɪ l ɪ
odloženy,ɔ d l ɔ ʒ ɛ n ɪ
odložit,ɔ d l ɔ ʒ ɪ t
odloživ,ɔ d l ɔ ʒ ɪ f
odlučné,o d l ʊ t͡ʃ n ɛː
odmala,ˈ ʔ ɔ d m a l a
odmocnina,ɔ d m ɔ t͡s ɲ ɪ n a
odmítaje,ɔ d m iː t a j ɛ
odmítají,ɔ d m iː t a j iː
odmítajíc,ɔ d m iː t a j iː t͡s
odmítajíce,ɔ d m iː t a j iː t͡s ɛ
odmítali,ɔ d m iː t a l ɪ
odmítat,ɔ d m iː t a t
odmítati,ɔ d m iː t a c ɪ
odmítl,ɔ d m iː t l̩
odmítla,ɔ d m iː t l a
odmítli,ɔ d m iː t l ɪ
odmítlo,ɔ d m iː t l ɔ
odmítne,ɔ d m iː t n ɛ
odmítnout,ɔ d m iː t n ɔ ʊ t
odmítnouti,ɔ d m iː t n ɔ ʊ c ɪ
odmítnutí,ɔ d m iː t n ʊ c iː
odmítá,ɔ d m iː t a
odměna,ɔ d m ɲ ɛ n a
odměr,ɔ d m ɲ ɛ r
odměřený,ɔ d m ɲ ɛ r̝ ɛ n iː
odnesl,ɔ d n ɛ s l̩
odneste,ɔ d n ɛ s t ɛ
odnášejí,ɔ d n aː ʃ ɛ j iː
odnášet,ˈ ʔ ɔ d n aː ʃ ɛ t
odnést,ˈ ʔ ɔ d n ɛː s t
odnětí,ˈ ʔ ɔ d ɲ ɛ c iː
odnětím,ʔ ɔ d ɲ ɛ c iː m
odolat,ɔ d ɔ l a t
odolati,ɔ d ɔ l a c ɪ
odolen,ɔ d ɔ l ɛ n
odolnost,ɔ d ɔ l n ɔ s t
odolná,ɔ d ɔ l n aː
odolávav,ɔ d ɔ l aː v a f
odorat,ˈ ɔ d ɔ r a t
odorati,ˈ ɔ d ɔ r a c ɪ
odůvodnil,ɔ d uː v ɔ d ɲ ɪ l
odpad,ɔ t p a t
odpadlíky,ɔ t p a d l iː k ɪ
odpadlíků,ʔ ɔ t p a d l iː k uː
odpadní,ˈ ʔ ɔ t p a d ɲ iː
odpadu,ɔ t p a d ʊ
odpaňovač,ˈ ʔ ɔ t p a ɲ ɔ v a t͡ʃ
odpojí,ɔ t p ɔ j iː
odpoledne,ɔ t p ɔ l ɛ d n ɛ
odpolední,ɔ t p ɔ l ɛ d ɲ iː
odpoledníček,ɔ t p ɔ l ɛ d ɲ iː t͡ʃ ɛ k
odpor,ˈ ɔ t p ɔ r
odporný,ɔ t p ɔ r n iː
odporovav,ɔ t p ɔ r ɔ v a f
odporujíce,ɔ t p ɔ r ʊ j iː t͡s ɛ
odposlechy,ɔ t p ɔ s l ɛ x ɪ
odposlouchává,ɔ t p ɔ s l ɔ ʊ̯ x aː v aː
odpouštět,ˈ ʔ ɔ t p ɔ ʊ̯ ʃ c ɛ t
odpouštěti,ɔ t p ɔ ʊ̯ ʃ c ɛ c ɪ
odpovídajíc,ɔ t p ɔ v iː d a j iː t͡s
odpovídající,ˈ ɔ t p ɔ v iː d a j iː t͡s iː
odpovídat,ɔ t p ɔ v iː d a t
odpovídá,ɔ t p ɔ v iː d aː
odpovídám,ɔ t p ɔ v iː d aː m
odpovědnost,ɔ t p ɔ v j ɛ d n ɔ s t
odpovědné,ɔ t p ɔ v j ɛ d n ɛː
odpovědný,ɔ t p ɔ v j ɛ d n iː
odpovědím,ɔ t p ɔ v j ɛ ɟ iː m
odpověděl,ɔ d p ɔ v j ɛ ɟ ɛ l
odpověděla,ɔ d p ɔ v j ɛ ɟ ɛ l a
odpovědět,ɔ t p ɔ v j ɛ ɟ ɛ t
odpověď,ɔ t p ɔ v j ɛ c
odpočinek,ɔ t p ɔ t ʃ ɪ n ɛ k
odpočivné,ɔ t p ɔ t͡ʃ ɪ v n ɛː
odpočívat,ɔ t p ɔ t͡ʃ iː v a t
odpočívek,ɔ t p ɔ t͡ʃ iː v ɛ k
odpočívka,ɔ t p ɔ t͡ʃ iː f k a
odpravit,ɔ t p r a v ɪ t
odprejsknout,ɔ t p r ɛ j s k n ɔ ʊ̯ t
odpudivého,ʔ ɔ t p ʊ ɟ ɪ v ɛː ɦ ɔ
odpuštěn,ɔ t p ʊ ʃ c ɛ n
odpuštěna,ɔ t p ʊ ʃ c ɛ n a
odpykávají,ɔ t p ɪ k aː v a j iː
odpykával,ɔ t p ɪ k aː v a l
odpykává,ˈ ʔ ɔ t p ɪ k aː v aː
odpálila,ɔ t p aː l ɪ l a
odpálit,ɔ t p aː l ɪ t
odpáliti,ɔ t p aː l ɪ c ɪ
odpírajíc,ɔ t p iː r a j iː t͡s
odpírat,ˈ ʔ ɔ t p iː r a t
odpískal,ɔ t p iː s k a l
odpůrce,ɔ t p uː r t͡s ɛ
odpůrkyně,ɔ t p uː r k ɪ ɲ ɛ
odra,ɔ d r a
odradit,o d r a ɟ ɪ t
odraziv,ɔ d r a z ɪ f
odročit,ɔ d r ɔ t͡ʃ ɪ t
odročiti,ɔ d r ɔ t͡ʃ ɪ c ɪ
odry,ɔ d r ɪ
odrážet,ɔ d r aː ʒ ɛ t
odrážeti,ɔ d r aː ʒ ɛ c ɪ
odrůda,ɔ d r uː d a
ods,ɔː d ɛː ɛ s
odsoudil,ɔ t s ɔ ʊ̯ ɟ ɪ l
odsoudilo,ɔ t s ɔ ʊ̯ ɟ ɪ l ɔ
odsouval,ɔ t s ɔ ʊ̯ v a l
odsouzen,ɔ t s ɔ ʊ̯ z ɛ n
odsouzeni,ɔ t s ɔ ʊ̯ z ɛ ɲ ɪ
odsouzeny,ɔ t s ɔ ʊ̯ z ɛ n ɪ
odsouzeného,ɔ t s ɔ ʊ̯ z ɛ n ɛː ɦ ɔ
odsouzení,ɔ t s ɔ ʊ̯ z ɛ ɲ iː
odsouzený,ɔ t s ɔ ʊ̯ z ɛ n iː
odspodu,ɔ t s p ɔ d ʊ
odstartovala,ɔ t s t a r t ɔ v a l a
odstartovala,ɔ t͡s t a r t ɔ v a l a
odstartuje,ɔ t s t a r t ʊ j ɛ
odstartuje,ɔ t͡s t a r t ʊ j ɛ
odstavec,ɔ t s t a v ɛ t͡s
odstoupí,ɔ t͡s t ɔ p ʊ iː
odstranit,ˈ ɔ t s t r a ɲ ɪ t
odstranitelný,ɔ t s t r a ɲ ɪ t ɛ l n iː
odstraněn,ɔ t͡s t r a ɲ ɛ n
odstraněno,ɔ t͡s t r a ɲ ɛ n ɔ
odstraněnému,ɔ t͡s t r a ɲ ɛ n ɛː m ʊ
odstranění,ɔ t s t r a ɲ ɛ ɲ iː
odstraňovat,ɔ t s t r a ɲ ɔ v a t
odstraňovati,ɔ t s t r a ɲ ɔ v a c ɪ
odstraňuje,ɔ t͡s t r a ɲ ʊ j ɛ
odstup,ɔ t s t ʊ p
odstup,ɔ t͡s t ʊ p
odstupné,ɔ t s t ʊ p n ɛː
odstín,ɔ t s c iː n
odstřelili,ɔ t͡s t r̝̊ ɛ l ɪ l ɪ
odstřelovač,ɔ t͡s t r̝̊ ɛ l ɔ v a t͡ʃ
odstřelovači,ɔ t͡s t r̝̊ ɛ l ɔ v a t͡ʃ ɪ
odsud,ɔ t͡s ʊ t
odsunout,ˈ ʔ ɔ t s ʊ n ɔ ʊ̯ t
odsunula,ɔ t s ʊ n ʊ l a
odsuvník,ɔ t s ʊ v ɲ iː k
odsuzováním,ɔ t s ʊ z ɔ v aː ɲ iː m
odsuzuji,ɔ t s ʊ z ʊ j ɪ
odsuzují,ɔ t s ʊ z ʊ j iː
odtamtud,ɔ t t a m t ʊ t
odtoku,ʔ ɔ t t ɔ k ʊ
odtrhnout,ˈ ɔ t t r̩ ɦ n ɔ ʊ̯ t
odtrhnouti,ˈ ɔ t t r̩ ɦ n ɔ ʊ̯ c ɪ
odtud,ɔ t t ʊ t
odtučněný,ɔ t t ʊ t͡ʃ ɲ ɛ n iː
odtáhl,ɔ t t aː ɦ l̩
odtála,ɔ t t aː l a
odvaha,ɔ d v a ɦ a
odvezena,ɔ d v ɛ z ɛ n a
odvezli,ɔ d v ɛ z l ɪ
odvezly,ɔ d v ɛ z l ɪ
odvlhčovač,ɔ d v l x t͡ʃ ɔ v a t͡ʃ
odvody,ɔ d v ɔ d ɪ
odvolacího,ɔ d v ɔ l a t͡s iː ɦ ɔ
odvolil,ɔ d v ɔ l ɪ l
odvolit,ˈ ʔ ɔ d v ɔ l ɪ t
odvolá,ɔ d v ɔ l aː
odvolán,ʔ ɔ d v ɔ l aː n
odvolání,ɔ d v ɔ l aː ɲ iː
odvykaček,ʔ ɔ d v ɪ k a t͡ʃ ɛ k
odvykačkami,ʔ ɔ d v ɪ k a t͡ʃ k a m ɪ
odvykačkou,ʔ ɔ d v ɪ k a t͡ʃ k ɔ ʊ̯
odvykačku,ʔ ɔ d v ɪ k a t͡ʃ k ʊ
odvykačky,ʔ ɔ d v ɪ k a t͡ʃ k ɪ
odvykačkách,ʔ ɔ d v ɪ k a t͡ʃ k aː x
odvážel,ɔ d v aː ʒ ɛ l
odvážet,ˈ ʔ ɔ d v aː ʒ ɛ t
odvážlivkyně,ɔ d v aː ʒ l̩ ɪ f k ɪ ɲ ɛ
odvážný,o d v aː ʒ n iː
odvésti,ˈ ɔ d v ɛː s c ɪ
odvézt,ˈ ɔ d v ɛː s t
odvézti,ˈ ɔ d v ɛː s c ɪ
odvěsna,ɔ d v j ɛ s n a
odvětit,ɔ d v j ɛ c ɪ t
odvětrávali,ɔ d v j ɛ t r aː v a l ɪ
odysea,ɔ d ɪ s ɛ a
odyseami,ɔ d ɪ s ɛ a m ɪ
odyseje,ɔ d ɪ s ɛ j ɛ
odysejemi,ɔ d ɪ s ɛ j ɛ m ɪ
odyseji,ɔ d ɪ s ɛ j ɪ
odysejí,ˈ ʔ ɔ d ɪ s ɛ j iː
odysejích,ʔ ɔ d ɪ s ɛ j iː x
odysejím,ɔ d ɪ s ɛ j iː m
odyseo,ɔ d ɪ s ɛ ɔ
odyseou,ɔ d ɪ s ɛ ɔ ʊ̯
odyseu,ɔ d ɪ s ɛ ʊ
odysey,ɔ d ɪ s ɛ ɪ
odyseách,ɔ d ɪ s ɛ aː x
odyseám,ɔ d ɪ s ɛ aː m
odzbrojení,ˈ ʔ ɔ d z b r ɔ j ɛ ɲ iː
odzemí,ˈ ʔ ɔ d z ɛ m iː
oersted,ɛ r s t ɛ t
ofensivní,ɔ f ɛ n z ɪ v ɲ iː
ofenzivní,ɔ f ɛ n z ɪ v ɲ iː
oficiální,ɔ f ɪ t͡s ɪ j aː l ɲ iː
oficiálně,ɔ f ɪ t͡s ɪ j aː l ɲ ɛ
oficír,ɔ f ɪ t͡s iː r
ofset,ɔ f s ɛ t
oftalmolog,ɔ f t a l m ɔ l ɔ k
oftalmologický,ɔ f t a l m ɔ l ɔ ɡ ɪ t͡s k iː
oftalmologie,ˈ ʔ ɔ f t a l m ɔ l ɔ ɡ ɪ j ɛ
ogar,ɔ ɡ a r
ohňostroj,ɔ ɦ ɲ ɔ s t r ɔ j
ohňostroje,ɔ ɦ ɲ ɔ s t r ɔ j ɛ
ohňostrojem,ɔ ɦ ɲ ɔ s t r ɔ j ɛ m
ohňostroji,ɔ ɦ ɲ ɔ s t r ɔ j ɪ
ohňostrojích,ɔ ɦ ɲ ɔ s t r ɔ j iː x
ohňostrojů,ɔ ɦ ɲ ɔ s t r ɔ j uː
ohňostrojům,ɔ ɦ ɲ ɔ s t r ɔ j uː m
ohňů,ɔ ɦ ɲ uː
ohňům,ɔ ɦ ɲ uː m
ohře,ɔ ɦ r̝ ɛ
ohřát,ˈ ʔ ɔ ɦ r̝̊ aː t
ohřívajíce,ɔ ɦ r̝ iː v a j iː t͡s ɛ
oharek,ˈ ʔ ɔ ɦ a r ɛ k
oharka,ɔ ɦ a r k a
ohař,ɔ ɦ a r̝̊
ohebnou,ɔ ɦ ɛ b n ɔ ʊ̯
ohebný,ɔ ɦ ɛ b n iː
oheň,ˈ ɔ ɦ ɛ ɲ
ohio,ɔ ɦ aː j ɔ
ohlasům,ɔ ɦ l a s uː m
ohled,ɔ ɦ l ɛ t
ohledně,ɔ ɦ l ɛ d ɲ ɛ
ohleduplný,ˈ ɔ ɦ l ɛ d ʊ p l̩ n iː
ohlásit,ɔ ɦ l aː s ɪ t
ohlásiv,ɔ ɦ l aː s ɪ f
ohlášen,ɔ ɦ l aː ʃ ɛ n
ohm,ɔː m
ohmmetr,ɔː m m ɛ t r̩
ohne,ɔ ɦ n ɛ
ohnisko,ɔ ɦ ɲ ɪ s k ɔ
ohnisky,ɔ ɦ ɲ ɪ s k ɪ
ohnivohřbetý,ˈ ʔ ɔ ɦ ɪ v ɔ x r̝ b ɛ t iː
ohnivý,ɔ ɦ ɲ ɪ v iː
ohniště,ɔ ɦ ɲ ɪ ʃ c ɛ
ohnout,ɔ ɦ n ɔ ʊ̯ t
ohních,ɔ ɦ ɲ iː x
ohně,ʔ ɔ ɦ ɲ ɛ
ohněm,ɔ ɦ ɲ ɛ m
oho,ɔ ɦ ɔ
ohoho,ɔ ɦ ɔ ɦ ɔ
ohol,ɔ ɦ ɔ l
ohon,ɔ ɦ ɔ n
ohrada,ɔ ɦ r a d a
ohraničena,ɔ ɦ r a ɲ ɪ t͡ʃ ɛ n a
ohraničení,ɔ ɦ r a ɲ ɪ t ʃ ɛ ɲ iː
ohrazen,ɔ ɦ r a z ɛ n
ohrnout,ˈ ʔ ɔ ɦ r̩ n ɔ ʊ̯ t
ohromený,ʔ ɔ ɦ r ɔ m ɛ n iː
ohromit,ʔ ɔ ɦ r ɔ m ɪ t
ohromiti,ʔ ɔ ɦ r ɔ m ɪ c ɪ
ohromné,ɔ ɦ r ɔ m n ɛː
ohromný,ʔ ɔ ɦ r ɔ m n iː
ohrozit,ɔ ɦ r ɔ z ɪ t
ohrožený,ɔ ɦ r ɔ ʒ ɛ n iː
ohroženým,ɔ ɦ r ɔ ʒ ɛ n iː m
ohrožovala,ɔ ɦ r ɔ ʒ ɔ v a l a
ohrožovat,ˈ ʔ ɔ ɦ r ɔ ʒ ɔ v a t
ohrožuje,ɔ ɦ r ɔ ʒ ʊ j ɛ
ohrožují,ɔ ɦ r ɔ ʒ ʊ j iː
ohrožujíce,ˈ ʔ ɔ ɦ r ɔ ʒ ʊ j iː t͡s ɛ
ohryzek,ɔ ɦ r̩ ɪ z ɛ k
ohrádka,ɔ ɦ r aː t k a
ohyb,ɔ ɦ ɪ p
ohybník,ɔ ɦ ɪ b ɲ iː k
ohyzdný,ɔ ɦ ɪ z d n iː
oháňka,ɔ ɦ aː ɲ k a
ohýbat,ɔ ɦ iː b a t
ohýbání,ɔ ɦ iː b aː ɲ iː
oikofobie,ɔ j k ɔ f ɔː b ɪ j ɛ
oj,ɔ j
ojebat,ɔ j ɛ b a t
ojedinělé,ɔ j ɛ ɟ ɪ ɲ ɛ l ɛː
ojedinělý,ɔ j ɛ ɟ ɪ ɲ ɛ l iː
ok,ɔ k
okřiknout,ɔ k r̝̊ ɪ k n ɔ ʊ̯ t
okřín,ɔ k r̝̊ iː n
okamurovec,ɔ k a m ʊ r ɔ v ɛ t͡s
okamžení,ˈ ɔ k a m ʒ ɛ ɲ iː
okamžik,ɔ k a m ʒ ɪ k
okamžiku,ɔ k a m ʒ ɪ k ʊ
okamžité,ɔ k a m ʒ ɪ t ɛː
okamžitém,ɔ k a m ʒ ɪ t ɛː m
okamžitý,ɔ k a m ʒ ɪ t iː
okamžitě,ɔ k a m ʒ ɪ c ɛ
okap,ɔ k a p
okape,ɔ k a p ɛ
okapem,ɔ k a p ɛ m
okapi,ˈ ʔ ɔ k a p ɪ
okapník,ɔ k a p ɲ iː k
okapový,ɔ k a p ɔ v iː
okapu,ɔ k a p ʊ
okapy,ɔ k a p ɪ
okarína,ɔ k a r iː n a
okatý,ɔ k a t iː
okazionalismus,ɔ k a z ɪ j ɔ n a l ɪ z m ʊ s
okazionalizmus,ɔ k a z ɪ j ɔ n a l ɪ z m ʊ s
okcipitální,ɔ k t͡s ɪ p ɪ t aː l ɲ iː
okcitánsky,ɔ k t͡s ɪ t aː n s k ɪ
okcitánština,ɔ k t͡s ɪ t aː n ʃ c ɪ n a
okem,ˈ ʔ ɔ k ɛ m
okenní,ɔ k ɛ ɲ iː
oklahoma,ɔ k l a ɦ ɔ m a
oklamat,ɔ k l a m a t
oklamavši,ˈ ʔ ɔ k l a m a f ʃ ɪ
oklika,ɔ k l ɪ k a
okna,ɔ k n a
okno,ˈ ɔ k n ɔ
oko,ɔ k ɔ
okolnost,ɔ k ɔ l n ɔ s t
okolnosti,ɔ k ɔ l n ɔ s c ɪ
okolní,ɔ k ɔ l ɲ iː
okolo,ɔ k ɔ l ɔ
okolí,ɔ k ɔ l iː
okolík,ɔ k ɔ l iː k
okůnek,ɔ k uː n ɛ k
okostice,ɔ k ɔ s c ɪ t͡s ɛ
okoun,ɔ k ɔ ʊ̯ n
okov,ɔ k ɔ f
okovec,ɔ k ɔ v ɛ t͡s
okořenila,ɔ k ɔ r̝ ɛ ɲ ɪ l a
okořenit,ˈ ʔ ɔ k ɔ r̝ ɛ ɲ ɪ t
okoštovat,ɔ k ɔ ʃ t ɔ v a t
okr,ɔ k r̩
okraj,ɔ k r a j
okrajové,ɔ k r a j ɔ v ɛː
okrem,ɔ k r ɛ m
okres,ɔ k r ɛ s
okresní,ɔ k r ɛ s ɲ iː
okrouhlice,ɔ k r ɔ ʊ̯ ɦ l ɪ t͡s ɛ
okrový,ɔ k r ɔ v iː
okruh,ɔ k r ʊ x
okruhu,ɔ k r ʊ ɦ ʊ
okružanka,ɔ k r ʊ ʒ a ŋ k a
oktan,ɔ k t a n
oktant,ɔ k t a n t
oktet,ɔ k t ɛ t
okteto,ɔ k t ɛ t ɔ
oktrojovat,ɔ k t r ɔ j ɔ v a t
oktrojírka,ɔ k t r ɔ j iː r k a
oktáva,ɔ k t aː v a
oktávie,ɔ k t aː v ɪ j ɛ
okuj,ɔ k ʊ j
okultní,ɔ k ʊ l t ɲ iː
okulár,ɔ k ʊ l aː r
okuláry,ɔ k ʊ l aː r ɪ
okupace,ˈ ʔ ɔ k ʊ p a t͡s ɛ
okupacemi,ɔ k ʊ p a t͡s ɛ m ɪ
okupaci,ɔ k ʊ p a t͡s ɪ
okupací,ɔ k ʊ p a t͡s iː
okupacích,ɔ k ʊ p a t͡s iː x
okupacím,ɔ k ʊ p a t͡s iː m
okupantům,ɔ k ʊ p a n t uː m
okupované,ɔ k ʊ p ɔ v a n ɛː
okurka,ˈ ɔ k ʊ r k a
okurkový,ɔ k ʊ r k ɔ v iː
okurčička,ɔ k ʊ r t͡ʃ ɪ t͡ʃ k a
okénko,ˈ ʔ ɔ k ɛː ŋ k ɔ
ola,ɔ l a
olačka,ɔ l a t͡ʃ k a
olbřím,ɔ l b r̝ iː m
olbřímí,ʔ ɔ l b r̝ iː m iː
oldřich,ˈ ʔ ɔ l d r̝ ɪ x
oldřichův,ɔ l d r̝ ɪ x uː f
oldřiška,ɔ l d r̝ ɪ ʃ k a
olej,ɔ l ɛ j
oleje,ʔ ɔ l ɛ j ɛ
olejek,ɔ l ɛ j ɛ k
olejomalba,ɔ l ɛ j ɔ m a l b a
olejovat,ɔ l ɛ j ɔ v a t
olejovka,ɔ l ɛ j ɔ f k a
olejový,ɔ l ɛ j ɔ v iː
olejů,ɔ l ɛ j uː
olga,ˈ ɔ l ɡ a
oligarcha,ˈ ʔ ɔ l ɪ ɡ a r x a
oligarchický,ɔ l ɪ ɡ a r x ɪ t͡s k iː
oligarchie,ɔ l ɪ ɡ a r x ɪ j ɛ
oligarchů,ʔ ɔ l ɪ ɡ a r x uː
oligofrenie,ɔ l ɪ ɡ ɔ f r ɛ n ɪ j ɛ
oligokardie,ɔ l ɪ ɡ ɔ k a r d ɪ j ɛ
oligopol,ɔ l ɪ ɡ ɔ p ɔ l
oligospermie,ɔ l ɪ ɡ ɔ s p ɛ r m ɪ j ɛ
oliheň,ɔ l ɪ ɦ ɛ ɲ
oliva,ɔ l ɪ v a
olivia,ɔ l ɪ v ɪ j a
olivovník,ɔ l ɪ v ɔ v ɲ iː k
olivovníkový,ɔ l ɪ v ɔ v ɲ iː k ɔ v iː
olivový,ɔ l ɪ v ɔ v iː
olivín,ɔ l ɪ v iː n
olivínový,ɔ l ɪ v iː n ɔ v iː
olo,ɔ l ɔ
olomouc,ˈ ʔ ɔ l ɔ m ɔ ʊ̯ t͡s
olomoucko,ɔ l ɔ m ɔ ʊ̯ t͡s k ɔ
olomoucké,ɔ l ɔ m ɔ ʊ̯ t͡s k ɛː
olomoucký,ɔ l ɔ m ɔ ʊ̯ t͡s k iː
olomoučan,ˈ ʔ ɔ l ɔ m ɔ ʊ̯ t͡ʃ a n
oloupaný,ˈ ʔ ɔ l ɔ ʊ̯ p a n iː
olovnice,ɔ l ɔ v ɲ ɪ t͡s ɛ
olovo,ɔ l ɔ v ɔ
olověný,ɔ l ɔ v j ɛ n iː
oltář,ɔ l t aː r̝̊
oltářní,ɔ l t aː r̝ ɲ iː
oltářník,ɔ l t aː r̝ ɲ iː k
olymp,ɔ l ɪ m p
olympijská,ɔ l ɪ m p ɪ j s k aː
olympijské,ɔ l ɪ m p ɪ j s k ɛː
olympijském,ɔ l ɪ m p ɪ j s k ɛː m
olympijský,ɔ l ɪ m p ɪ j s k iː
olympionička,ɔ l ɪ m p ɪ ɔ ɲ ɪ t͡ʃ k a
olympiáda,ˈ ʔ ɔ l ɪ m p ɪ j aː d a
olympiádě,ɔ l ɪ m p ɪ j aː ɟ ɛ
olše,ɔ l ʃ ɛ
olšový,ɔ l ʃ ɔ v iː
omalovánka,ˈ ɔ m a l ɔ v aː ŋ k a
ombrofilní,ɔ m b r ɔ f ɪ l ɲ iː
ombrografie,ɔ m b r ɔ ɡ r a f ɪ j ɛ
ombudsman,ɔ m b ʊ t͡s m a n
omega,ɔ m ɛ ɡ a
omeleta,ɔ m ɛ l ɛ t a
omeletový,ɔ m ɛ l ɛ t ɔ v iː
omerta,ˈ ʔ ɔ m ɛ r t a
omezen,ɔ m ɛ z ɛ n
omezenec,ɔ m ɛ z ɛ n ɛ t͡s
omezení,ɔ m ɛ z ɛ ɲ iː
omezený,ɔ m ɛ z ɛ n iː
omezeným,ɔ m ɛ z ɛ n iː m
omezit,ˈ ʔ ɔ m ɛ z ɪ t
omezovat,ˈ ʔ ɔ m ɛ z ɔ v a t
omezuje,ɔ m ɛ z ʊ j ɛ
omezí,ɔ m ɛ z iː
omladnice,ˈ ʔ ɔ m l a d ɲ ɪ t͡s ɛ
omlouvat,ɔ m l ɔ ʊ v a t
omluva,ɔ m l ʊ v a
omluvenka,ɔ m l ʊ v ɛ ŋ k a
omluvit,ɔ m l ʊ v i t
omnibus,ɔ m n ɪ b ʊ s
omrdat,ɔ m r̩ d a t
omykat,ʔ ɔ m ɪ k a t
omyl,ɔ m ɪ l
omyly,ɔ m ɪ l ɪ
omámil,ɔ m aː m ɪ l
omán,ɔ m aː n
ománka,ɔ m aː ŋ k a
ománský,ɔ m aː n s k iː
omáčce,ʔ ɔ m aː t͡ʃ t͡s ɛ
omáčka,ɔ m aː t͡ʃ k a
omáčkami,ʔ ɔ m aː t͡ʃ k a m ɪ
omáčkový,ɔ m aː t͡ʃ k ɔ v iː
omáčku,ʔ ɔ m aː t͡ʃ k ʊ
omáčkách,ʔ ɔ m aː t͡ʃ k aː x
omáňanka,ɔ m aː ɲ a ŋ k a
omílat,ɔ m iː l a t
omítka,ɔ m iː t k a
omítkový,ɔ m iː t k ɔ v iː
omýt,ɔ m iː t
omýti,ɔ m iː c ɪ
oměj,ɔ m ɲ ɛ j
on,ˈ ʔ ɔ n
ona,ɔ n a
onan,ɔ n a n
onanie,ɔ n a n ɪ ɛ
onano,ɔ n a n ɔ
onanovat,ɔ n a n ɔ v a t
ondatra,ˈ ʔ ɔ n d a t r a
onde,ɔ n d ɛ
ondra,ɔ n d r a
ondrášek,ɔ n d r aː ʃ ɛ k
ondy,ɔ n d ɪ
ondřej,ɔ n d r̝ ɛ j
ondřejová,ɔ n d r̝ ɛ j ɔ v aː
ondřejská,ˈ ʔ ɔ n d r̝ ɛ j s k aː
ondřejíček,ɔ n d r̝ ɛ j iː t͡ʃ ɛ k
ondřejův,ɔ n d r̝ ɛ j uː f
ondřík,ɔ n d r̝ iː k
ondříček,ɔ n d r̝ iː t͡ʃ ɛ k
onehda,ɔ n ɛ ɦ d a
onehdy,ɔ n ɛ ɦ d ɪ
onehdá,ɔ n ɛ ɦ d aː
onemocnění,ɔ n ɛ m ɔ t͡s ɲ ɛ ɲ iː
onemocnět,ɔ n ɛ m ɔ t͡s ɲ ɛ t
onemocněti,ɔ n ɛ m ɔ t͡s ɲ ɛ c ɪ
onen,ɔ n ɛ n
oni,ɔ ɲ ɪ
onikat,ɔ ɲ ɪ k a t
onikati,ɔ ɲ ɪ k a c ɪ
onikání,ɔ ɲ ɪ k aː ɲ iː
onkolog,ˈ ʔ ɔ ŋ k ɔ l ɔ k
onkologie,ɔ ŋ k ɔ l ɔ ɡ ɪ j ɛ
onkoložka,ɔ ŋ k ɔ l ɔ ʃ k a
ono,ɔ n ɔ
onomastika,ɔ n ɔ m a s c ɪ k a
onomatopoicky,ɔ n ɔ m a t ɔ p ɔ j ɪ t͡s k i
onomatopoický,ɔ n ɔ m a t ɔ p ɔ j ɪ t͡s k iː
onomatopoie,ɔ n ɔ m a t ɔ p ɔ j ɛ
onomatopoion,ɔ n ɔ m a t ɔ p ɔ j ɔ n
