ăl,ə l
palisaj,p a l i ˈ s a ʒ
palisandru,p a l i ˈ s a n d r u
palisare,p a l i ˈ s a r e
palisă,p a ˈ l i s ə
palm,p a l m
palma,ˈ p a l m a
palmac,p a l ˈ m a k
palmar,p a l ˈ m a r
palmares,p a l m a ˈ r e s
palmat,p a l ˈ m a t
palmatifid,p a l m a t i ˈ f i d
palmatură,p a l m a ˈ t u r ə
palme,ˈ p a l m e
palmer,p a l ˈ m e r
palmetă,p a l ˈ m e t ə
palmier,p a l m i ˈ e r
palmieră,p a l m i ˈ e r ə
palmiform,p a l m i ˈ f o r m
palmiped,p a l m i ˈ p e d
palmitat,p a l m i ˈ t a t
palmitină,p a l m i ˈ t i n ə
palmă,ˈ p a l m ə
paloare,p a ˈ l o̯ a r e
palograf,p a l o ˈ ɡ r a f
palogramă,p a l o ˈ ɡ r a m ə
palonier,p a l o n i ˈ e r
paloș,ˈ p a l o ʃ
palp,p a l p
palpa,p a l ˈ p a
palpabil,p a l ˈ p a b i l
palpabilitate,p a l p a b i l i ˈ t a t e
palpare,p a l ˈ p a r e
palpator,p a l p a ˈ t o r
palpație,p a l ˈ p a t͡s i e
palpebral,p a l p e ˈ b r a l
palpit,p a l ˈ p i t
palpita,p a l p i ˈ t a
palpitant,p a l p i ˈ t a n t
palpitare,p a l p i ˈ t a r e
palpitație,p a l p i ˈ t a t͡s i e
palpitător,p a l p i t ə ˈ t o r
palplanșă,p a l ˈ p l a n ʃ ə
palpă,ˈ p a l p ə
palten,ˈ p a l t e n
paltin,ˈ p a l t i n
paltini,ˈ p a l t i n ʲ
palton,p a l ˈ t o n
paltonaș,p a l t o ˈ n a ʃ
palude,p a ˈ l u d e
paludic,p a ˈ l u d i k
paludism,p a l u ˈ d i s m
paludolog,p a l u d o ˈ l o ɡ
paludologie,p a l u d o l o ˈ d ʒ i e
paludologă,p a l u d o ˈ l o ɡ ə
paludos,p a l u ˈ d o s
paludoterapie,p a l u d o t e r a ˈ p i e
paludrină,p a l u ˈ d r i n ə
paludă,p a ˈ l u d ə
palustru,p a ˈ l u s t r u
palux,ˈ p a l u k s
pama,p a ˈ m a
pamare,p a ˈ m a r e
pamblică,ˈ p a m b l i k ə
pamflet,p a m ˈ f l e t
pamfletar,p a m f l e ˈ t a r
pamfletist,p a m f l e ˈ t i s t
pamfletistă,p a m f l e ˈ t i s t ə
pamfletăresc,p a m f l e t ə ˈ r e s k
pampas,p a m ˈ p a s
pană,ˈ p a n ə
panțarolă,p a n t͡s a ˈ r o l ə
panțir,p a n ˈ t͡s i r
panțâr,p a n ˈ t͡s ɨ r
panachidă,p a n a ˈ k i d ə
panacod,p a n a ˈ k o d
panacodar,p a n a k o ˈ d a r
panacotar,p a n a k o ˈ t a r
panafrican,p a n a f r i ˈ k a n
panafricanism,p a n a f r i k a ˈ n i s m
panaghiar,p a n a ˈ ɡ j a r
panahidă,p a n a ˈ h i d ə
panamerican,p a n a m e r i ˈ k a n
panamericanism,p a n a m e r i k a ˈ n i s m
panamericanist,p a n a m e r i k a ˈ n i s t
panamericanistă,p a n a m e r i k a ˈ n i s t ə
panamez,p a n a ˈ m e z
panameză,p a n a ˈ m e z ə
panarab,p a n a ˈ r a b
panaramă,p a n a ˈ r a m ə
panare,p a ˈ n a r e
panarițiu,p a n a ˈ r i t͡s j u
panaș,p a ˈ n a ʃ
panașat,p a n a ˈ ʃ a t
pancalism,p a n k a ˈ l i s m
pancartă,p a n ˈ k a r t ə
pancovă,ˈ p a n k o v ə
pancreatic,p a n k r e ˈ a t i k
pancromatic,p a n k r o ˈ m a t i k
pancronic,p a n ˈ k r o n i k
panda,ˈ p a n d a
pandajmetrie,p a n d a ʒ m e ˈ t r i e
pandalie,p a n d a ˈ l i e
pandant,p a n ˈ d a n t
pandantiv,p a n d a n ˈ t i v
pandecte,p a n ˈ d e k t e
pandeism,p a n d e ˈ i s m
pandeisme,p a n d e ˈ i s m e
pandelaș,p a n d e ˈ l a ʃ
pandemic,p a n ˈ d e m i k
pandemie,p a n d e ˈ m i e
pandit,p a n ˈ d i t
pandișpan,p a n d i ʃ ˈ p a n
pandlică,ˈ p a n d l i k ə
pandoră,p a n ˈ d o r ə
pandosire,p a n d o ˈ s i r e
pandur,p a n ˈ d u r
panduresc,p a n d u ˈ r e s k
pandurime,p a n d u ˈ r i m e
pane,ˈ p a n e
panegiric,p a n e ˈ d ʒ i r i k
panegirist,p a n e d ʒ i ˈ r i s t
panel,p a ˈ n e l
panelenic,p a n e ˈ l e n i k
panelenism,p a n e l e ˈ n i s m
panelenist,p a n e l e ˈ n i s t
panelenistic,p a n e l e ˈ n i s t i k
panelenistă,p a n e l e ˈ n i s t ə
paner,p a ˈ n e r
paneraș,p a n e ˈ r a ʃ
panfobie,p a n f o ˈ b i e
pangar,p a n ˈ ɡ a r
pangeneză,p a n d ʒ e ˈ n e z ə
pangermanic,p a n d ʒ e r ˈ m a n i k
pangermanică,p a n d ʒ e r ˈ m a n i k ə
pangermanism,p a n d ʒ e r m a ˈ n i s m
pangermanist,p a n d ʒ e r m a ˈ n i s t
panghire,p a n ˈ ɡ i r e
panglicar,p a n ɡ l i ˈ k a r
panglicuță,p a n ɡ l i ˈ k u t͡s ə
panglică,ˈ p a n ɡ l i k ə
panglicărie,p a n ɡ l i k ə ˈ r i e
pangolin,p a n ɡ o ˈ l i n
panicard,p a n i ˈ k a r d
panicardă,p a n i ˈ k a r d ə
panicare,p a n i ˈ k a r e
panicat,p a n i ˈ k a t
paniculat,p a n i k u ˈ l a t
paniculă,p a n i ˈ k u l ə
panică,p a ˈ n i k ə
panier,p a n i ˈ e r
panifica,p a n i f i ˈ k a
panificabil,p a n i f i ˈ k a b i l
panificare,p a n i f i ˈ k a r e
panificație,p a n i f i k a ˈ t͡s i e
panislamic,p a n i s ˈ l a m i k
panislamism,p a n i s l a ˈ m i s m
panlogism,p a n l o ˈ d ʒ i s m
panlogist,p a n l o ˈ d ʒ i s t
panlogistă,p a n l o ˈ d ʒ i s t ə
panmieloftizie,p a n m i e l o f t i ˈ z i e
panonian,p a n o n i ˈ a n
panonic,p a ˈ n o n i k
panoplie,p a n o ˈ p l i e
panoptic,p a n ˈ o p t i k
panorama,p a n o r a ˈ m a
panoramare,p a n o r a ˈ m a r e
panoramic,p a n o ˈ r a m i k
panoramă,p a n o ˈ r a m ə
panortodox,p a n o r t o ˈ d o k s
panpsihism,p a n p s i ˈ h i s m
panromanic,p a n r o ˈ m a n i k
panromânism,p a n r o m ɨ ˈ n i s m
pansaj,p a n ˈ s a ʒ
pansament,p a n s a ˈ m e n t
pansare,p a n ˈ s a r e
pansat,p a n ˈ s a t
pansea,p a n ˈ s e̯ a
panseluță,p a n s e ˈ l u t͡s ə
panseu,p a n ˈ s e w
pansinuzită,p a n s i n u ˈ z i t ə
pansiv,p a n ˈ s i v
panslav,p a n ˈ s l a v
panslavism,p a n s l a ˈ v i s m
panslavist,p a n s l a ˈ v i s t
panslavistă,p a n s l a ˈ v i s t ə
pantahuză,p a n t a ˈ h u z ə
pantalon,p a n t a ˈ l o n
pantalonadă,p a n t a l o ˈ n a d ə
pantalonar,p a n t a l o ˈ n a r
pantalonaș,p a n t a l o ˈ n a ʃ
pantaloni,p a n t a ˈ l o n ʲ
panteism,p a n t e ˈ i s m
panteist,p a n t e ˈ i s t
panteistic,p a n t e ˈ i s t i k
panteistă,p a n t e ˈ i s t ə
pantera,p a n ˈ t e r a
panteră,p a n ˈ t e r ə
pantocrator,p a n t o ˈ k r a t o r
pantof,p a n ˈ t o f
pantofar,p a n t o ˈ f a r
pantofi,p a n ˈ t o f ʲ
pantofior,p a n t o ˈ f j o r
pantofărie,p a n t o f ə ˈ r i e
pantograf,p a n t o ˈ ɡ r a f
pantografic,p a n t o ˈ ɡ r a f i k
pantografie,p a n t o ɡ r a ˈ f i e
pantometru,p a n t o ˈ m e t r u
pantomim,p a n t o ˈ m i m
pantomimic,p a n t o ˈ m i m i k
pantomimă,p a n t o ˈ m i m ə
pantopon,p a n t o ˈ p o n
pantrop,p a n ˈ t r o p
pantum,ˈ p a n t u m
pantă,ˈ p a n t ə
panus,ˈ p a n u s
panzootie,p a n z o o ˈ t i e
paos,ˈ p a o s
pap,p a p
papa,p a ˈ p a
papagal,p a p a ˈ ɡ a l
papagal-țigănesc,p a p a ˈ ɡ a l t͡s i ɡ ə ˈ n e s k
papagali,p a p a ˈ ɡ a l ʲ
papagalicesc,p a p a ɡ a l i ˈ t͡ʃ e s k
papagalicește,p a p a ɡ a l i ˈ t͡ʃ e ʃ t e
papagalici,p a p a ɡ a l i ˈ t͡ʃ i
papagalicire,p a p a ɡ a l i ˈ t͡ʃ i r e
papagalism,p a p a ɡ a ˈ l i s m
papagalizare,p a p a ɡ a l i ˈ z a r e
papagaliță,p a p a ɡ a ˈ l i t͡s ə
papal,p a ˈ p a l
papalitate,p a p a l i ˈ t a t e
papanaș,p a p a ˈ n a ʃ
paparudă,p a p a ˈ r u d ə
paparugă,p a p a ˈ r u ɡ ə
papară,p a ˈ p a r ə
papaverină,p a p a v e ˈ r i n ə
papetar,p a p e ˈ t a r
papetărie,p a p e t ə ˈ r i e
papilar,p a p i ˈ l a r
papiliform,p a p i l i ˈ f o r m
papilom,p a p i ˈ l o m
papilomatos,p a p i l o m a ˈ t o s
papilomatoză,p a p i l o m a ˈ t o z ə
papilos,p a p i ˈ l o s
papilă,p a ˈ p i l ə
papion,p a p i ˈ o n
papionare,p a p i o ˈ n a r e
papir,p a ˈ p i r
papiriforme,p a p i r i ˈ f o r m e
papirolog,p a p i r o ˈ l o ɡ
papirologic,p a p i r o ˈ l o d ʒ i k
papirologie,p a p i r o l o ˈ d ʒ i e
papirus,p a ˈ p i r u s
papism,p a ˈ p i s m
papist,p a ˈ p i s t
papistaș,p a p i s ˈ t a ʃ
papistașă,p a p i s ˈ t a ʃ ə
papistă,p a ˈ p i s t ə
papistășesc,p a p i s t ə ˈ ʃ e s k
papistășește,p a p i s t ə ˈ ʃ e ʃ t e
papistăși,p a p i s t ə ˈ ʃ i
papistășire,p a p i s t ə ˈ ʃ i r e
paporniță,p a ˈ p o r n i t͡s ə
paprica,p a p r i ˈ k a
paprica,ˈ p a p r i k a
papricare,p a p r i ˈ k a r e
papricaș,ˈ p a p r i k a ʃ
paprică,ˈ p a p r i k ə
papuc,p a ˈ p u k
papucar,p a p u ˈ k a r
papucaș,p a p u ˈ k a ʃ
papucel,p a p u ˈ t͡ʃ e l
papucă,p a ˈ p u k ə
papulă,ˈ p a p u l ə
papură,ˈ p a p u r ə
papus,p a ˈ p u s
papă,ˈ p a p ə
papșer,ˈ p a p ʃ e r
pară,ˈ p a r ə
parșiv,p a r ˈ ʃ i v
parțial,p a r t͡s i ˈ a l
parțialitate,p a r t͡s i a l i ˈ t a t e
parțializare,p a r t͡s i a l i ˈ z a r e
par,p a r
parașuta,p a r a ʃ u ˈ t a
parașuta,p a r a ˈ ʃ u t a
parașutare,p a r a ʃ u ˈ t a r e
parașutat,p a r a ʃ u ˈ t a t
parașutism,p a r a ʃ u ˈ t i s m
parașutist,p a r a ʃ u ˈ t i s t
parașutistă,p a r a ʃ u ˈ t i s t ə
parașută,p a r a ˈ ʃ u t ə
para,p a ˈ r a
para,ˈ p a r a
parabal,p a r a ˈ b a l
parabază,p a r a ˈ b a z ə
parabil,p a ˈ r a b i l
parabiotic,p a r a b i ˈ o t i k
parabioză,p a r a b i ˈ o z ə
parabole,p a ˈ r a b o l e
parabolic,p a r a ˈ b o l i k
parabolizare,p a r a b o l i ˈ z a r e
paraboloid,p a r a b o l o ˈ i d
parabolă,p a ˈ r a b o l ə
parabuclă,p a r a ˈ b u k l ə
parabulie,p a r a b u ˈ l i e
paracenteză,p a r a t͡ʃ e n ˈ t e z ə
paracetamol,p a r a t͡ʃ e t a ˈ m o l
paracherniță,p a r a ˈ k e r n i t͡s ə
parachinezie,p a r a k i n e ˈ z i e
parachinisire,p a r a k i n i ˈ s i r e
paracistită,p a r a t͡ʃ i s ˈ t i t ə
paracivilizație,p a r a t͡ʃ i v i l i ˈ z a t͡s i e
paraclază,p a r a ˈ k l a z ə
paraclinic,p a r a ˈ k l i n i k
paraclis,p a r a ˈ k l i s
paracliser,p a r a k l i ˈ s e r
paracliseriță,p a r a k l i s e ˈ r i t͡s ə
paracronism,p a r a k r o ˈ n i s m
paracuzie,p a r a k u ˈ z i e
paracăzător,p a r a k ə z ə ˈ t o r
parada,p a r a ˈ d a
parada,p a ˈ r a d a
paradare,p a r a ˈ d a r e
paradentoză,p a r a d e n ˈ t o z ə
paradi,p a r a ˈ d i
paradigmatic,p a r a d i ɡ ˈ m a t i k
paradigmă,p a r a ˈ d i ɡ m ə
paradire,p a r a ˈ d i r e
paradis,p a r a ˈ d i s
paradit,p a r a ˈ d i t
paraditură,p a r a d i ˈ t u r ə
paradiziac,p a r a d i z i ˈ a k
parados,p a r a ˈ d o s
paradosi,p a r a d o ˈ s i
paradosire,p a r a d o ˈ s i r e
paradox,p a r a ˈ d o k s
paradoxuri,p a r a ˈ d o k s u r ʲ
paradă,p a ˈ r a d ə
parafa,p a r a ˈ f a
parafare,p a r a ˈ f a r e
parafat,p a r a ˈ f a t
parafazic,p a r a ˈ f a z i k
parafazică,p a r a ˈ f a z i k ə
parafazie,p a r a f a ˈ z i e
parafernal,p a r a f e r ˈ n a l
parafernă,p a r a ˈ f e r n ə
parafilatelie,p a r a f i l a t e ˈ l i e
parafina,p a r a f i ˈ n a
parafina,p a r a ˈ f i n a
parafinare,p a r a f i ˈ n a r e
parafinic,p a r a ˈ f i n i k
parafinos,p a r a f i ˈ n o s
parafină,p a r a ˈ f i n ə
parafiză,p a r a ˈ f i z ə
paraflacără,p a r a ˈ f l a k ə r ə
parafoc,p a r a ˈ f o k
paraformaldehidă,p a r a f o r m a l d e ˈ h i d ə
parafrastic,p a r a ˈ f r a s t i k
parafraza,p a r a f r a ˈ z a
parafraza,p a r a ˈ f r a z a
parafrazare,p a r a f r a ˈ z a r e
parafrază,p a r a ˈ f r a z ə
parafrenic,p a r a ˈ f r e n i k
parafucsină,p a r a f u k ˈ s i n ə
parafulger,p a r a ˈ f u l d ʒ e r
parafum,p a r a ˈ f u m
parafă,p a ˈ r a f ə
paragat,p a r a ˈ ɡ a t
paragel,p a r a ˈ d ʒ e l
paragenetic,p a r a d ʒ e ˈ n e t i k
paragenetică,p a r a d ʒ e ˈ n e t i k ə
parageneză,p a r a d ʒ e ˈ n e z ə
paragină,p a ˈ r a d ʒ i n ə
paraglobină,p a r a ɡ l o ˈ b i n ə
paraglobulină,p a r a ɡ l o b u ˈ l i n ə
paragogic,p a r a ˈ ɡ o d ʒ i k
paragogă,p a r a ˈ ɡ o ɡ ə
paragraf,p a r a ˈ ɡ r a f
paragrafe,p a r a ˈ ɡ r a f e
paragrafie,p a r a ɡ r a ˈ f i e
paragramă,p a r a ˈ ɡ r a m ə
paralactic,p a r a ˈ l a k t i k
paralalie,p a r a l a ˈ l i e
paraldehidă,p a r a l d e ˈ h i d ə
paralel,p a r a ˈ l e l
paralelipiped,p a r a l e l i p i ˈ p e d
paralelipipedic,p a r a l e l i p i ˈ p e d i k
paralelism,p a r a l e ˈ l i s m
paraleliza,p a r a l e l i ˈ z a
paralelizare,p a r a l e l i ˈ z a r e
paralelogram,p a r a l e l o ˈ ɡ r a m
paralelă,p a r a ˈ l e l ə
paraliterar,p a r a l i t e ˈ r a r
paraliteratură,p a r a l i t e r a ˈ t u r ə
paralitic,p a r a ˈ l i t i k
paralitică,p a r a ˈ l i t i k ə
paraliza,p a r a l i ˈ z a
paralizant,p a r a l i ˈ z a n t
paralizare,p a r a l i ˈ z a r e
paralizat,p a r a l i ˈ z a t
paralizie,p a r a l i ˈ z i e
paralogic,p a r a ˈ l o d ʒ i k
paralogie,p a r a l o ˈ d ʒ i e
paralogism,p a r a l o ˈ d ʒ i s m
paralâc,p a r a ˈ l ɨ k
paramagnetic,p a r a m a ɡ ˈ n e t i k
paramagnetism,p a r a m a ɡ n e ˈ t i s m
parameci,p a r a ˈ m e t͡ʃ ʲ
parament,p a r a ˈ m e n t
paramer,p a r a ˈ m e r
parametric,p a r a ˈ m e t r i k
parametron,p a r a m e ˈ t r o n
parametru,p a r a ˈ m e t r u
paramilitar,p a r a m i l i ˈ t a r
paramnezie,p a r a m n e ˈ z i e
paranestezie,p a r a n e s t e ˈ z i e
parangonaj,p a r a n ɡ o ˈ n a ʒ
paranimfă,p a r a ˈ n i m f ə
paranoia,p a r a ˈ n o j a
paranormal,p a r a n o r ˈ m a l
parantetic,p a r a n ˈ t e t i k
parantetizare,p a r a n t e t i ˈ z a r e
parantez,p a r a n ˈ t e z
paranteză,p a r a n ˈ t e z ə
parapanghelos,p a r a ˈ p a n ɡ e l o s
parapet,p a r a ˈ p e t
parapitec,p a r a ˈ p i t e k
paraplasmă,p a r a ˈ p l a s m ə
paraplegic,p a r a ˈ p l e d ʒ i k
paraplegică,p a r a ˈ p l e d ʒ i k ə
paraplegie,p a r a p l e ˈ d ʒ i e
parapod,p a r a ˈ p o d
parapon,p a r a ˈ p o n
paraponiseală,p a r a p o n i ˈ s e̯ a l ə
paraponisi,p a r a p o n i ˈ s i
paraponisire,p a r a p o n i ˈ s i r e
paraponisit,p a r a p o n i ˈ s i t
parapsihologic,p a r a p s i h o ˈ l o d ʒ i k
parapsihologie,p a r a p s i h o l o ˈ d ʒ i e
parare,p a ˈ r a r e
parascântei,p a r a s k ɨ n ˈ t e j
parasimpatic,p a r a s i m ˈ p a t i k
parasintetic,p a r a s i n ˈ t e t i k
parasol,p a r a ˈ s o l
parasolar,p a r a s o ˈ l a r
parastas,p a r a s ˈ t a s
parastisi,p a r a s t i ˈ s i
parastisire,p a r a s t i ˈ s i r e
parastui,p a r a s t u ˈ i
parastuire,p a r a s t u ˈ i r e
paratactic,p a r a ˈ t a k t i k
paratific,p a r a ˈ t i f i k
paratifos,p a r a t i ˈ f o s
paratifoză,p a r a t i ˈ f o z ə
paratirisi,p a r a t i r i ˈ s i
paratirisire,p a r a t i r i ˈ s i r e
paratoner,p a r a t o ˈ n e r
paratrofie,p a r a t r o ˈ f i e
paratrăsnet,p a r a ˈ t r ə s n e t
paratuberculoză,p a r a t u b e r k u ˈ l o z ə
paravalanșă,p a r a v a ˈ l a n ʃ ə
paravalisi,p a r a v a l i ˈ s i
paravalisire,p a r a v a l i ˈ s i r e
paravan,p a r a ˈ v a n
paravenos,p a r a v e ˈ n o s
paravânt,p a r a ˈ v ɨ n t
parazit,p a r a ˈ z i t
parazita,p a r a z i ˈ t a
parazita,p a r a ˈ z i t a
parazitar,p a r a z i ˈ t a r
parazitare,p a r a z i ˈ t a r e
paraziticid,p a r a z i t i ˈ t͡ʃ i d
parazitism,p a r a z i ˈ t i s m
parazitofobie,p a r a z i t o f o ˈ b i e
parazitolog,p a r a z i t o ˈ l o ɡ
parazitologie,p a r a z i t o l o ˈ d ʒ i e
parazitologă,p a r a z i t o ˈ l o ɡ ə
parazitotrop,p a r a z i t o ˈ t r o p
parazitoză,p a r a z i ˈ t o z ə
parazită,p a r a ˈ z i t ə
paraziți,p a r a ˈ z i t͡s ʲ
parazăpadă,p a r a z ə ˈ p a d ə
parbriz,p a r ˈ b r i z
parc,p a r k
parca,p a r ˈ k a
parcaj,p a r ˈ k a ʒ
parcan,p a r ˈ k a n
parcare,p a r ˈ k a r e
parcela,p a r t͡ʃ e ˈ l a
parcela,p a r ˈ t͡ʃ e l a
parcelar,p a r t͡ʃ e ˈ l a r
parcelare,p a r t͡ʃ e ˈ l a r e
parcelat,p a r t͡ʃ e ˈ l a t
parcelator,p a r t͡ʃ e l a ˈ t o r
parcelă,p a r ˈ t͡ʃ e l ə
parcheriza,p a r k e r i ˈ z a
parcherizare,p a r k e r i ˈ z a r e
parchet,p a r ˈ k e t
parcheta,p a r k e ˈ t a
parchetar,p a r k e ˈ t a r
parchetare,p a r k e ˈ t a r e
parchetat,p a r k e ˈ t a t
parcimonios,p a r t͡ʃ i m o n i ˈ o s
parcometru,p a r k o ˈ m e t r u
parcura,p a r k u ˈ r a
parcurare,p a r k u ˈ r a r e
parcurge,p a r ˈ k u r d ʒ e
parcurgere,p a r ˈ k u r d ʒ e r e
parcuri,ˈ p a r k u r ʲ
parcurs,p a r ˈ k u r s
parcă,ˈ p a r k ə
pardesiaș,p a r d e s i ˈ a ʃ
pardon,p a r ˈ d o n
pardona,p a r d o ˈ n a
pardonabil,p a r d o ˈ n a b i l
pardonare,p a r d o ˈ n a r e
pardos,p a r ˈ d o s
pardoseală,p a r d o ˈ s e̯ a l ə
pardosi,p a r d o ˈ s i
pardosire,p a r d o ˈ s i r e
pardosit,p a r d o ˈ s i t
pare,ˈ p a r e
paregoric,p a r e ˈ ɡ o r i k
paremiar,p a r e m i ˈ a r
paremiolog,p a r e m i o ˈ l o ɡ
paremiologic,p a r e m i o ˈ l o d ʒ i k
paremiologie,p a r e m i o l o ˈ d ʒ i e
parenchim,p a r e n ˈ k i m
parenchimatic,p a r e n k i ˈ m a t i k
parenchimatos,p a r e n k i m a ˈ t o s
parenetic,p a r e ˈ n e t i k
parental,p a r e n ˈ t a l
parenteral,p a r e n t e ˈ r a l
parestezie,p a r e s t e ˈ z i e
paretisire,p a r e t i ˈ s i r e
parezie,p a r e ˈ z i e
pareză,p a ˈ r e z ə
parfe,p a r ˈ f e
parfum,p a r ˈ f u m
parfuma,p a r f u ˈ m a
parfumare,p a r f u ˈ m a r e
parfumat,p a r f u ˈ m a t
parfumerie,p a r f u m e ˈ r i e
parfumier,p a r f u m i ˈ e r
parfumărie,p a r f u m ə ˈ r i e
parhelic,p a r ˈ h e l i k
parhelie,p a r h e ˈ l i e
pari,ˈ p a r ʲ
paricid,p a r i ˈ t͡ʃ i d
paricidă,p a r i ˈ t͡ʃ i d ə
paricopitat,p a r i k o p i ˈ t a t
pariere,p a r i ˈ e r e
parigorie,p a r i ɡ o ˈ r i e
parigorisi,p a r i ɡ o r i ˈ s i
parigorisire,p a r i ɡ o r i ˈ s i r e
parimiar,p a r i m i ˈ a r
parinc,p a ˈ r i n k
paring,p a ˈ r i n ɡ
parior,p a r i ˈ o r
parip,p a ˈ r i p
paripenat,p a r i p e ˈ n a t
paris,p a ˈ r i s
parisilab,p a r i s i ˈ l a b
parisilabic,p a r i s i ˈ l a b i k
paritate,p a r i ˈ t a t e
pariu,p a ˈ r i w
parizer,p a ˈ r i z e r
parizian,p a r i z i ˈ a n
pariziancă,p a r i z i ˈ a n k ə
parizianizare,p a r i z i a n i ˈ z a r e
pariziană,p a r i z i ˈ a n ə
parkinson,ˈ p a r k i n s o n
parkinsonism,p a r k i n s o ˈ n i s m
parlament,p a r l a ˈ m e n t
parlamenta,p a r l a m e n ˈ t a
parlamentar,p a r l a m e n ˈ t a r
parlamentare,p a r l a m e n ˈ t a r e
parlamentarism,p a r l a m e n t a ˈ r i s m
parloar,p a r ˈ l o̯ a r
parmac,p a r ˈ m a k
parmaclâc,p a r m a ˈ k l ɨ k
parmalâc,p a r m a ˈ l ɨ k
parmazan,p a r m a ˈ z a n
parmen,p a r ˈ m e n
parmezan,p a r m e ˈ z a n
parnasian,p a r n a s i ˈ a n
parnasianism,p a r n a s i a ˈ n i s m
parnasiană,p a r n a s i ˈ a n ə
parodia,p a r o d i ˈ a
parodiant,p a r o d i ˈ a n t
parodiantă,p a r o d i ˈ a n t ə
parodic,p a ˈ r o d i k
parodiere,p a r o d i ˈ e r e
parodist,p a r o ˈ d i s t
parodistic,p a r o ˈ d i s t i k
parodontal,p a r o d o n ˈ t a l
parodontită,p a r o d o n ˈ t i t ə
parodontogramă,p a r o d o n t o ˈ ɡ r a m ə
parodontologie,p a r o d o n t o l o ˈ d ʒ i e
parodontom,p a r o d o n ˈ t o m
parodontometrie,p a r o d o n t o m e ˈ t r i e
parodontopatie,p a r o d o n t o p a ˈ t i e
parodonțiu,p a r o ˈ d o n t͡s j u
paroh,p a ˈ r o h
parohial,p a r o h i ˈ a l
parohie,p a r o ˈ h i e
paroi,p a r o ˈ i
paroi,p a ˈ r o j
paroire,p a r o ˈ i r e
parol,p a ˈ r o l
parola,p a r o ˈ l a
parola,p a ˈ r o l a
parolare,p a r o ˈ l a r e
paroli,p a r o ˈ l i
parolist,p a r o ˈ l i s t
parolistă,p a r o ˈ l i s t ə
parolă,p a ˈ r o l ə
paronim,p a r o ˈ n i m
paronimic,p a r o ˈ n i m i k
paronimie,p a r o n i ˈ m i e
paronomastic,p a r o n o ˈ m a s t i k
paronomazie,p a r o n o m a ˈ z i e
paronomază,p a r o n o ˈ m a z ə
parotidian,p a r o t i d i ˈ a n
parotidită,p a r o t i ˈ d i t ə
parpalec,p a r p a ˈ l e k
parpian,p a r p i ˈ a n
parsec,p a r ˈ s e k
parsism,p a r ˈ s i s m
part,p a r t
partaj,p a r ˈ t a ʒ
partaja,p a r t a ˈ ʒ a
partajabil,p a r t a ˈ ʒ a b i l
partajare,p a r t a ˈ ʒ a r e
partal,p a r ˈ t a l
parte,ˈ p a r t e
partener,p a r t e ˈ n e r
parteneră,p a r t e ˈ n e r ə
partenocarpie,p a r t e n o k a r ˈ p i e
partenogenetic,p a r t e n o d ʒ e ˈ n e t i k
partenogeneză,p a r t e n o d ʒ e ˈ n e z ə
parter,p a r ˈ t e r
participa,p a r t i t͡ʃ i ˈ p a
participant,p a r t i t͡ʃ i ˈ p a n t
participantă,p a r t i t͡ʃ i ˈ p a n t ə
participare,p a r t i t͡ʃ i ˈ p a r e
participativ,p a r t i t͡ʃ i p a ˈ t i v
participație,p a r t i t͡ʃ i ˈ p a t͡s i e
participial,p a r t i t͡ʃ i p i ˈ a l
participiu,p a r t i ˈ t͡ʃ i p j u
particular,p a r t i k u ˈ l a r
particularism,p a r t i k u l a ˈ r i s m
particularist,p a r t i k u l a ˈ r i s t
particularistă,p a r t i k u l a ˈ r i s t ə
particularitate,p a r t i k u l a r i ˈ t a t e
particulariza,p a r t i k u l a r i ˈ z a
particularizant,p a r t i k u l a r i ˈ z a n t
particularizare,p a r t i k u l a r i ˈ z a r e
particularnic,p a r t i k u ˈ l a r n i k
particulă,p a r ˈ t i k u l ə
partid,p a r ˈ t i d
partidă,p a r ˈ t i d ə
partinic,p a r ˈ t i n i k
partinitate,p a r t i n i ˈ t a t e
partitiv,p a r t i ˈ t i v
partitură,p a r t i ˈ t u r ə
partită,p a r ˈ t i t ə
partizan,p a r t i ˈ z a n
partizană,p a r t i ˈ z a n ə
partiție,p a r ˈ t i t͡s i e
partiționare,p a r t i t͡s i o ˈ n a r e
parturiție,p a r t u ˈ r i t͡s i e
parucic,p a ˈ r u t͡ʃ i k
parură,p a ˈ r u r ə
parveni,p a r v e ˈ n i
parvenire,p a r v e ˈ n i r e
parvenit,p a r v e ˈ n i t
parvenitism,p a r v e n i ˈ t i s m
parvenită,p a r v e ˈ n i t ə
parâmare,p a r ɨ ˈ m a r e
parâmă,p a ˈ r ɨ m ə
parâng,p a ˈ r ɨ n ɡ
pasă,ˈ p a s ə
pasămite,p a s ə ˈ m i t e
pasăre,ˈ p a s ə r e
pas,p a s
pasa,p a ˈ s a
pasabil,p a ˈ s a b i l
pasager,p a s a ˈ d ʒ e r
pasageră,p a s a ˈ d ʒ e r ə
pasaj,p a ˈ s a ʒ
pasametru,p a s a ˈ m e t r u
pasare,p a ˈ s a r e
pasarelă,p a s a ˈ r e l ə
pascal,p a s ˈ k a l
pascalie,p a s k a ˈ l i e
pască,ˈ p a s k ə
paseism,p a s e ˈ i s m
paseist,p a s e ˈ i s t
paseistă,p a s e ˈ i s t ə
pasență,p a ˈ s e n t͡s ə
pasere,p a ˈ s e r e
